STOPID,shape
8039,POINT (-122.465411 37.740759)
8050,POINT (-122.412463 37.782959)
7171,POINT (-122.395839 37.722262)
4732,POINT (-122.463848 37.773639)
4627,POINT (-122.436051 37.799595)
7041,POINT (-122.40619 37.71534)
7129,POINT (-122.410505 37.779354)
5487,POINT (-122.386049 37.733)
5747,POINT (-122.489201 37.753754)
3248,POINT (-122.4703 37.74503)
5681,POINT (-122.424666 37.770953)
3462,POINT (-122.434248 37.75136)
6501,POINT (-122.394538 37.794409)
7770,POINT (-122.402822 37.76611)
3095,POINT (-122.41081 37.807841)
6964,POINT (-122.39867 37.753447)
5594,POINT (-122.45708 37.70736)
3329,POINT (-122.437294 37.760702)
5700,POINT (-122.43113 37.71669)
6738,POINT (-122.466155 37.741125)
7299,POINT (-122.418485 37.772994)
5087,POINT (-122.415799 37.782648)
6506,POINT (-122.468067 37.73479)
6778,POINT (-122.438883 37.796589)
5825,POINT (-122.462585 37.713328)
5736,POINT (-122.431179 37.743311)
5255,POINT (-122.455776 37.743473)
4701,POINT (-122.41352 37.73716)
5531,POINT (-122.40157 37.78651)
6659,POINT (-122.445867 37.736835)
3570,POINT (-122.505798 37.775242)
5757,POINT (-122.501002 37.753241)
5194,POINT (-122.466312 37.762139)
5014,POINT (-122.429879 37.776056)
4622,POINT (-122.431207 37.775598)
7886,POINT (-122.405609 37.742377)
5509,POINT (-122.38444 37.74106)
6454,POINT (-122.491595 37.733847)
4179,POINT (-122.441122 37.761711)
3149,POINT (-122.392593 37.729238)
3838,POINT (-122.481893 37.783941)
4648,POINT (-122.394842 37.722895)
5828,POINT (-122.507497 37.750981)
6995,POINT (-122.407822 37.7843)
4300,POINT (-122.413332 37.786769)
6938,POINT (-122.452225 37.745623)
6263,POINT (-122.446738 37.720649)
3737,POINT (-122.40991 37.76038)
5682,POINT (-122.396627 37.792984)
5993,POINT (-122.41969 37.78507)
3264,POINT (-122.47196 37.75081)
8018,POINT (-122.371973 37.816701)
7632,POINT (-122.383313 37.743804)
5145,POINT (-122.440888 37.791724)
6060,POINT (-122.411272 37.802945)
6768,POINT (-122.417545 37.799449)
6882,POINT (-122.420351 37.747994)
3292,POINT (-122.41928 37.76502)
5997,POINT (-122.4199 37.78703)
4976,POINT (-122.390012 37.719198)
6619,POINT (-122.478426 37.74289)
6337,POINT (-122.40165 37.79597)
3340,POINT (-122.432688 37.761094)
6850,POINT (-122.407791 37.711488)
